batting_team,total_runs,bat_runs,extras,total_balls,run_rate
Gujarat Lions,4856,4627,229,3558,8.45
Chennai Super Kings,20890,19813,1077,15749,8.2
Royal Challengers Bangalore,23406,22214,1192,17666,8.2
Kings XI Punjab,23043,21804,1239,17583,8.11
Rising Pune Supergiants,2063,1962,101,1580,8.1
Mumbai Indians,24510,23097,1413,18938,8.04
Rising Pune Supergiant,2470,2370,100,1900,8.04
Sunrisers Hyderabad,11632,11049,583,9051,7.93
Kolkata Knight Riders,21939,20636,1303,17216,7.91
Delhi Daredevils,21942,20761,1181,17179,7.9
Rajasthan Royals,17668,16750,918,13900,7.85
Deccan Chargers,11463,10885,578,9034,7.82
Kochi Tuskers Kerala,1901,1758,143,1582,7.5
Pune Warriors,6358,6040,318,5443,7.2
