team,opponent,matches_played,total_runs_scored,run_rate
Chennai Super Kings,Sunrisers Hyderabad,6,1093,8.85
Chennai Super Kings,Kings XI Punjab,17,2871,8.46
Chennai Super Kings,Delhi Daredevils,16,2589,7.98
Chennai Super Kings,Rajasthan Royals,17,2732,7.92
Chennai Super Kings,Royal Challengers Bangalore,19,2957,7.88
Chennai Super Kings,Kolkata Knight Riders,16,2383,7.86
Chennai Super Kings,Mumbai Indians,22,3485,7.79
Chennai Super Kings,Deccan Chargers,10,1592,7.69
Chennai Super Kings,Kochi Tuskers Kerala,2,283,7.51
Chennai Super Kings,Pune Warriors,6,905,7.4
Deccan Chargers,Kings XI Punjab,10,1686,8.25
Deccan Chargers,Delhi Daredevils,11,1790,8.03
Deccan Chargers,Pune Warriors,4,637,7.88
Deccan Chargers,Rajasthan Royals,9,1427,7.71
Deccan Chargers,Royal Challengers Bangalore,11,1710,7.59
Deccan Chargers,Kolkata Knight Riders,9,1297,7.27
Deccan Chargers,Chennai Super Kings,10,1412,7.23
Deccan Chargers,Mumbai Indians,10,1375,7.14
Deccan Chargers,Kochi Tuskers Kerala,1,129,6.19
Delhi Daredevils,Gujarat Lions,4,732,9.63
Delhi Daredevils,Rising Pune Supergiant,2,373,8.99
Delhi Daredevils,Deccan Chargers,11,1794,8.34
Delhi Daredevils,Pune Warriors,6,864,7.87
Delhi Daredevils,Royal Challengers Bangalore,19,3042,7.83
Delhi Daredevils,Rajasthan Royals,16,2409,7.64
Delhi Daredevils,Sunrisers Hyderabad,10,1517,7.52
Delhi Daredevils,Kolkata Knight Riders,19,2772,7.48
Delhi Daredevils,Kings XI Punjab,20,2759,7.46
Delhi Daredevils,Mumbai Indians,20,2841,7.38
Delhi Daredevils,Chennai Super Kings,16,2259,7.37
Delhi Daredevils,Kochi Tuskers Kerala,2,297,7.13
Delhi Daredevils,Rising Pune Supergiants,2,283,6.82
Gujarat Lions,Kolkata Knight Riders,4,660,9.19
Gujarat Lions,Rising Pune Supergiants,2,360,9.0
Gujarat Lions,Delhi Daredevils,4,724,8.83
Gujarat Lions,Rising Pune Supergiant,2,333,8.58
Gujarat Lions,Kings XI Punjab,4,647,8.14
Gujarat Lions,Mumbai Indians,4,649,7.95
Gujarat Lions,Royal Challengers Bangalore,5,771,7.92
Gujarat Lions,Sunrisers Hyderabad,5,712,6.99
Kings XI Punjab,Kochi Tuskers Kerala,1,181,9.2
Kings XI Punjab,Gujarat Lions,4,692,8.47
Kings XI Punjab,Royal Challengers Bangalore,20,3114,8.3
Kings XI Punjab,Rising Pune Supergiants,2,325,8.23
Kings XI Punjab,Deccan Chargers,10,1632,8.11
Kings XI Punjab,Chennai Super Kings,17,2745,8.05
Kings XI Punjab,Mumbai Indians,20,3283,7.97
Kings XI Punjab,Sunrisers Hyderabad,10,1614,7.95
Kings XI Punjab,Rajasthan Royals,15,2421,7.85
Kings XI Punjab,Kolkata Knight Riders,21,3280,7.6
Kings XI Punjab,Delhi Daredevils,20,2742,7.44
Kings XI Punjab,Pune Warriors,6,777,6.94
Kings XI Punjab,Rising Pune Supergiant,2,237,6.46
Kochi Tuskers Kerala,Mumbai Indians,1,184,9.12
Kochi Tuskers Kerala,Kings XI Punjab,1,178,8.28
Kochi Tuskers Kerala,Chennai Super Kings,2,276,7.56
Kochi Tuskers Kerala,Delhi Daredevils,2,260,7.26
Kochi Tuskers Kerala,Rajasthan Royals,2,207,7.26
Kochi Tuskers Kerala,Pune Warriors,1,148,7.22
Kochi Tuskers Kerala,Kolkata Knight Riders,2,288,6.97
Kochi Tuskers Kerala,Royal Challengers Bangalore,2,286,6.78
Kochi Tuskers Kerala,Deccan Chargers,1,74,4.31
Kolkata Knight Riders,Rising Pune Supergiant,2,339,8.69
Kolkata Knight Riders,Rising Pune Supergiants,2,228,8.66
Kolkata Knight Riders,Gujarat Lions,4,653,8.43
Kolkata Knight Riders,Royal Challengers Bangalore,20,3139,8.14
Kolkata Knight Riders,Kings XI Punjab,21,3235,8.05
Kolkata Knight Riders,Sunrisers Hyderabad,12,1723,8.01
Kolkata Knight Riders,Delhi Daredevils,19,2787,7.54
Kolkata Knight Riders,Deccan Chargers,9,1378,7.44
Kolkata Knight Riders,Chennai Super Kings,16,2311,7.37
Kolkata Knight Riders,Mumbai Indians,21,3060,7.33
Kolkata Knight Riders,Pune Warriors,5,720,7.19
