team1,team2,winner,wins
Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,7
Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,6
Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,6
Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,6
Chennai Super Kings,Deccan Chargers,Chennai Super Kings,5
Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,5
Chennai Super Kings,Mumbai Indians,Chennai Super Kings,5
Chennai Super Kings,Mumbai Indians,Mumbai Indians,5
Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,5
Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,4
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,4
Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,4
Chennai Super Kings,Deccan Chargers,Deccan Chargers,3
Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,3
Chennai Super Kings,Pune Warriors,Chennai Super Kings,3
Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,2
Chennai Super Kings,Kochi Tuskers Kerala,Chennai Super Kings,1
Chennai Super Kings,Kochi Tuskers Kerala,Kochi Tuskers Kerala,1
Chennai Super Kings,Pune Warriors,Pune Warriors,1
Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,1
Deccan Chargers,Rajasthan Royals,Rajasthan Royals,6
Deccan Chargers,Delhi Daredevils,Delhi Daredevils,5
Deccan Chargers,Kings XI Punjab,Kings XI Punjab,5
Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,5
Deccan Chargers,Delhi Daredevils,Deccan Chargers,3
Deccan Chargers,Mumbai Indians,Deccan Chargers,3
Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,3
Deccan Chargers,Kings XI Punjab,Deccan Chargers,2
Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,2
Deccan Chargers,Mumbai Indians,Mumbai Indians,2
Deccan Chargers,Pune Warriors,Deccan Chargers,2
Deccan Chargers,Chennai Super Kings,Chennai Super Kings,1
Deccan Chargers,Chennai Super Kings,Deccan Chargers,1
Deccan Chargers,Kochi Tuskers Kerala,Deccan Chargers,1
Deccan Chargers,Pune Warriors,Pune Warriors,1
Deccan Chargers,Rajasthan Royals,Deccan Chargers,1
Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,8
Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,7
Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,6
Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,5
Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,4
Delhi Daredevils,Mumbai Indians,Delhi Daredevils,3
Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,3
Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,3
Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad,3
Delhi Daredevils,Deccan Chargers,Delhi Daredevils,2
Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,2
Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,2
Delhi Daredevils,Mumbai Indians,Mumbai Indians,2
Delhi Daredevils,Rising Pune Supergiant,Delhi Daredevils,2
